,Unnamed: 0,Departamento,Municipio,Cultivo,pH agua:suelo 2.5:1.0,Materia orgánica (MO) %,capacidad de intercambio cationico (CICE) suma de bases cmol(+)/kg,Conductividad electrica (CE) relacion 2.5:1.0 dS/m
20588,20588,CUNDINAMARCA,UBALÁ,Caña panelera/azucar,5.31,6.64531581188859,5.96517131310868,0.1051516
20589,20589,CUNDINAMARCA,UBALÁ,Caña panelera/azucar,5.3,2.16724401992337,4.45808993277436,0.27741
20590,20590,CUNDINAMARCA,UBALÁ,Caña panelera/azucar,5.09,6.34915648222077,4.78093301043945,0.189167199999999
20591,20591,CUNDINAMARCA,UBALÁ,Caña panelera/azucar,4.88,6.0280198596894,5.03825329285292,0.122588799999999
20592,20592,CUNDINAMARCA,UBALÁ,Caña panelera/azucar,4.87,5.69672104714726,7.06765768009923,0.2731828
20593,20593,CUNDINAMARCA,UBALÁ,Caña panelera/azucar,4.68,8.83886448938197,6.1356102697909,0.143724799999999
20594,20594,CUNDINAMARCA,UBALÁ,Caña panelera/azucar,4.82,7.94967286343955,6.67397454500413,0.143724799999999
20595,20595,CASANARE,MONTERREY,Aguacate,5.13,1.86655309569316,1.04672010140342,0.0945835999999999
20596,20596,CASANARE,MONTERREY,Citricos,4.71,1.67466504326893,0.832355537213231,0.1088504
20597,20597,CUNDINAMARCA,VIANÍ,Aguacate,5.85,2.84086733571456,11.076181986,0.243063999999999
20598,20598,CUNDINAMARCA,SAN JUAN DE RIOSECO,Aguacate,5.68,11.7312350029811,7.170403538,0.165917599999999
20599,20599,CUNDINAMARCA,MOSQUERA,Maíz,4.79,3.71800008882137,16.4552833872131,0.1801844
20600,20600,BOYACÁ,TOCA,Cebada,5.48,3.99061905992823,7.619084298,0.0929984
20601,20601,CESAR,AGUSTÍN CODAZZI,Hortalizas,5.07,2.42387119013646,5.75378339705235,0.248347999999999
20602,20602,CASANARE,MONTERREY,Cacao,5.37,0.857057694037694,3.26339757172712,0.0892995999999999
20603,20603,CUNDINAMARCA,PASCA,Uchuva,5.28,18.2366319481374,15.0160906232009,0.5780696
20604,20604,CUNDINAMARCA,SUESCA,Quinua,4.63,21.2727528317506,9.56545153132998,0.729192
20605,20605,CUNDINAMARCA,SUESCA,Quinua,5.26,15.6988918235369,10.7140635084748,0.2256268
20606,20606,CUNDINAMARCA,SUESCA,Quinua,5.11,24.896783340754,8.88153962515441,0.29062
20607,20607,VALLE DEL CAUCA,DAGUA,Aguacate,5.76,4.74395802165191,5.677148336,0.1236456
20608,20608,MAGDALENA,ARIGUANÍ,Melón,5.16,2.51849703302447,20.9891748269719,0.861820399999999
20609,20609,CASANARE,MONTERREY,Eucalipto,5.33,0.742211656780544,1.37073295326916,0.0671068
20610,20610,CUNDINAMARCA,VIANÍ,Café,7.89,6.24670565849092,45.30329423,0.8343436
